abandon|từ bỏ, bỏ rơi|desert, forsake, leave
maturity|sự trưởng thành|ripeness, adulthood, development, wisdom
maudlin|ủy mị, sướt mướt|sentimental, tearful, emotional, mushy
maverick|người lập dị, tự do|rebel, nonconformist, individualist, eccentric
maxim|châm ngôn|proverb, saying, adage, motto, principle
maximum|tối đa|highest, utmost, peak, topmost, greatest
maybe|có lẽ|perhaps, possibly, conceivably
maze|mê cung, ma trận|labyrinth, network, web, tangle, puzzle
meager|gầy gò, ít ỏi|scanty, sparse, inadequate, thin, lean
mean|keo kiệt, ích kỷ, ý nghĩa|stingy, selfish, cruel, signify, intend
meander|ngoằn ngoèo, đi lang thang|wander, wind, roam, drift, ramble
meaning|ý nghĩa|significance, sense, drift, intent, import
meaningful|có ý nghĩa|significant, important, relevant, substantial, serious
meaningless|vô nghĩa|pointless, futile, empty, senseless, absurd
means|phương tiện, cách thức|method, way, instrument, channel, resources
meantime|trong lúc đó|interval, meanwhile, interim
measure|đo lường, biện pháp|evaluate, gauge, step, action, statute
measured|thận trọng, đều đặn|deliberate, careful, steady, rhythmic, calculated
meat|thịt, cốt lõi|flesh, food, core, essence, substance
meddle|can thiệp, xen vào|interfere, intrude, tamper, pry
meddlesome|hay xen vào chuyện người khác|intrusive, prying, interfering, nosy
mediate|hòa giải, làm trung gian|arbitrate, negotiate, intercede, reconcile, settle
medicinal|có đặc tính chữa bệnh|healing, curative, therapeutic, remedial
mediocre|tầm thường, trung bình|ordinary, average, commonplace, run-of-the-mill, second-rate
mediocrity|sự tầm thường|ordinariness, average, inferiority
meditate|thiền, suy ngẫm|ponder, contemplate, reflect, muse, think
meditation|sự suy ngẫm, thiền định|contemplation, reflection, musing, thought
meek|nhu mì, hiền lành|submissive, gentle, mild, docile, humble
meet|gặp gỡ, thỏa mãn|encounter, assemble, satisfy, fulfill, comply
melancholic|u sầu, u uất|depressed, sad, gloomy, somber, dejected
melancholy|sự u sầu|sadness, gloom, sorrow, woe, misery
mellow|chín muồi, ngọt dịu|ripe, soft, smooth, mature, sweet
melodramatic|kịch tính hóa, cải lương|exaggerated, theatrical, histrionic, emotional
melt|tan chảy|dissolve, thaw, soften, fade, vanish
memento|vật kỷ niệm|souvenir, keepsake, token, remembrance
memoir|hồi ký|biography, autobiography, chronicle, record, life
memorable|đáng nhớ|unforgettable, notable, historic, remarkable, catch
memorandum|bản ghi nhớ|note, memo, message, minute, record
memorial|đài tưởng niệm|monument, statue, tribute, remembrance
memorize|ghi nhớ, thuộc lòng|learn, retain, commit to memory
menace|mối đe dọa|threat, danger, peril, hazard, endanger
menacing|mang tính đe dọa|threatening, intimidating, ominous, frightening
mend|sửa chữa, hàn gắn|repair, fix, restore, amend, recover
mendacious|vô lý, giả dối|untruthful, dishonest, deceitful, false, lying
mendacity|sự giả dối|dishonesty, untruthfulness, deceit, lying, falsehood
mendicant|người ăn xin|beggar, pauper, tramp
menial|lao dịch, thấp kém|humble, low, degrading, domestic, routine
mental|thuộc trí tuệ, tâm thần|intellectual, cognitive, psychological, insane, crazy
mention|nhắc đến|state, name, refer to, quote, announce
mentor|người hướng dẫn|advisor, guide, counselor, teacher, coach
mercantile|thuộc thương mại|commercial, trading, business
mercenary|hám lợi, lính đánh thuê|greedy, venal, grasping, avaricious
merchandise|hàng hóa|goods, commodities, products, stock, cargo
merchant|thương gia, người buôn bán|trader, dealer, wholesaler, retailer
merciful|nhân từ, khoan dung|compassionate, lenient, humane, forgiving, gentle
merciless|nhẫn tâm, tàn nhẫn|cruel, ruthless, pitiless, relentless, brutal
mercy|lòng nhân từ|compassion, leniency, pity, grace, forgiveness
mere|chỉ là, thuần túy|simple, plain, sheer, bare
merely|chỉ, đơn thuần|simply, only, purely, just
meretricious|bề ngoài hào nhoáng|flashy, gaudy, tawdry, superficial, false
merge|sáp nhập, hòa vào|combine, blend, fuse, unite, amalgamate
merger|sự sáp nhập|amalgamation, fusion, combination, union, alliance
merit|công lao, giá trị|worth, value, excellence, asset, deserve
meritorious|đáng khen thưởng|praiseworthy, laudable, commendable, admirable
merry|vui vẻ, hân hoan|cheerful, jolly, joyful, festive, mirthful
mesmerize|thôi miên, mê hoặc|hypnotize, fascinate, captivate, enthrall, spellbind
mess|tình trạng hỗn độn|muddle, jumble, chaos, clutter, shambles
message|thông điệp, tin nhắn|communication, note, memo, signal, errand
messenger|người đưa tin|courier, herald, envoy, emissary, runner
metamorphose|biến hóa, thay đổi|transform, alter, transmute, change
metaphor|phép ẩn dụ|analogy, comparison, symbol, emblem
method|phương pháp|way, technique, system, procedure, approach
methodical|có phương pháp, ngăn nắp|orderly, systematic, structured, organized, efficient
meticulous|tỉ mỉ, kỹ lưỡng|careful, precise, scrupulous, detailed, thorough
mettle|bản lĩnh, dũng khí|courage, bravery, spirit, fortitude, pluck
microscopic|kính hiển vi, siêu nhỏ|tiny, minuscule, infinitesimal, minute
macaroni|mì ống|pasta, noodles
mace|cây chùy, nhục đậu khấu|club, staff, spice
machine|máy móc|device, mechanism, engine
machinery|máy móc (nói chung)|equipment, apparatus, gear
mackintosh|áo mưa|raincoat, slicker
macro|vĩ mô, lớn|large-scale, overall
macroeconomics|kinh tế học vĩ mô|economics
macroscopic|có thể nhìn thấy bằng mắt thường|visible
madam|quý bà, phu nhân|lady, ma'am, dame
madden|làm phát điên, chọc tức|enrage, infuriate, anger
magazine|tạp chí|journal, periodical, publication
magic|ma thuật, ảo thuật|sorcery, witchcraft, illusion
magician|phù thủy, nhà ảo thuật|wizard, sorcerer, illusionist
magistrate|thẩm phán|judge, justice, official
magma|đá magma (nham thạch)|lava, molten rock
magnet|nam châm, người có sức hút|lodestone, attraction, draw
magnetic|có từ tính, cuốn hút|alluring, attractive, captivating
magnetism|từ tính, sức hấp dẫn|attraction, charm, appeal
maiden|thiếu nữ, đầu tiên|girl, unmarried woman, first
mail|thư từ, bưu phẩm|post, correspondence, letters
mailbox|hộp thư|letterbox, postbox
mainland|lục địa, đất liền|continent
mainly|chính, chủ yếu|chiefly, mostly, largely
maintain|duy trì, bảo dưỡng|keep, preserve, sustain
maintenance|sự bảo trì, duy trì|upkeep, preservation, care
maize|ngô (bắp)|corn
make-up|đồ trang điểm, sự cấu tạo|cosmetics, composition, constitution
malaria|bệnh sốt rét|disease, illness
malfunction|sự cố, trục trặc|breakdown, failure, fault
malignant|ác tính, hiểm độc|cancerous, fatal, malicious
mall|trung tâm mua sắm|shopping center, plaza, arcade
malnutrition|sự suy dinh dưỡng|undernourishment, starvation
mammal|động vật có vú|creature, animal
management|sự quản lý, ban giám đốc|administration, control, directors
manager|người quản lý|director, boss, executive
mandarin|quan lại, quả quýt|official, bureaucrat, citrus
mangle|làm rách, làm hỏng|mutilate, crush, ruin
manhood|tuổi trưởng thành (của nam)|adulthood, maturity, masculinity
manifestation|sự biểu hiện, hiện tượng|expression, demonstration, display
manifesto|bản tuyên ngôn|declaration, statement, proclamation
manifold|nhiều, đa dạng|many, various, diverse
mansion|biệt thự, dinh thự|manor, hall, palace
manual|thủ công, sách hướng dẫn|hand, physical, handbook
map|bản đồ, lập bản đồ|chart, plan, plot
marathon|cuộc đua marathon|race, endurance test
marble|đá cẩm thạch|stone, sculpture
march|cuộc hành quân, diễu hành|walk, parade, advance
margarine|bơ thực vật|butter substitute, spread
margin|lề, số dư|edge, border, limit
marijuana|cần sa|cannabis, weed, pot
mariner|thủy thủ|sailor, seaman
markedly|một cách rõ rệt|noticeably, clearly, obviously
market|thị trường, chợ|bazaar, trade, commerce
marketing|tiếp thị|selling, advertising, promotion
marry|kết hôn|wed, unite, tie the knot
marsh|đầm lầy|swamp, bog, wetland
marshal|sắp xếp, thống chế|gather, arrange, commander
martyr|tử đạo, người chịu hy sinh|victim, sufferer
marvelous|kỳ diệu, tuyệt vời|wonderful, amazing, spectacular
mask|mặt nạ, che giấu|cover, disguise, veil
mass|khối lượng, đám đông|weight, bulk, crowd
massage|xoa bóp|knead, rub, manipulate
mat|tấm thảm, miếng lót|rug, pad, cushion
match|trận đấu, que diêm|game, contest, lighter
materialism|chủ nghĩa vật chất|greed, consumerism
mathematics|toán học|math, calculation, arithmetic
matrix|ma trận, khuôn mẫu|mold, framework, grid
mature|chín chắn, trưởng thành|adult, grown, fully developed
maximum|tối đa|highest, utmost, peak
mayor|thị trưởng|official, leader, head
maze|mê cung|labyrinth, puzzle, tangle
meadow|đồng cỏ|field, pasture, grassland
meal|bữa ăn|feast, repast, spread
meanwhile|trong khi đó|meantime, simultaneously
measure|đo lường, biện pháp|evaluate, gauge, action
measurement|sự đo lường|calculation, dimension, size
mechanic|thợ máy|repairman, technician, engineer
mechanical|thuộc cơ khí, máy móc|automated, automatic, machine-driven
mechanism|cơ chế, máy móc|machine, apparatus, process
medal|huy chương|award, decoration, prize
medallion|huy chương lớn|medal, pendant
media|phương tiện truyền thông|press, broadcasting, communications
medical|thuộc y tế|clinical, health, therapeutic
medication|thuốc chữa bệnh|medicine, drug, remedy
medicine|y học, thuốc|medication, drug, remedy
medieval|thuộc thời trung cổ|middle ages, antique
meditate|thiền, suy ngẫm|contemplate, ponder, reflect
meditation|sự thiền định|thought, reflection, contemplation
medium|trung bình, phương tiện|average, middle, means
melody|giai điệu|tune, song, music
melon|quả dưa|fruit
melt|tan chảy|dissolve, thaw, liquefy
member|thành viên|participant, associate, representative
membrane|màng (sinh học)|skin, film, layer
memorandum|bản ghi nhớ|memo, note, reminder
memorial|đài tưởng niệm|monument, shrine, tribute
memory|trí nhớ, kỷ niệm|recollection, remembrance, retention
menace|sự đe dọa|threat, danger, hazard
mental|thuộc trí tuệ, tinh thần|intellectual, psychological, cognitive
mention|đề cập, nói đến|refer to, note, state
menu|thực đơn|list, bill of fare, options
mercantile|thuộc thương mại|commercial, trading, business
merchandise|hàng hóa|goods, wares, commodities
merchant|thương gia, thương nhân|trader, dealer, seller
mercury|thủy ngân, sao thủy|quicksilver, element, planet
merger|sự sáp nhập|combination, union, amalgamation
merit|xứng đáng, công lao|deserve, earn, worth
mermaid|nàng tiên cá|siren, nymph
message|tin nhắn, thông điệp|communication, note, statement
messenger|người đưa tin|courier, envoy, runner
metabolism|sự trao đổi chất|digestion, biological process
metal|kim loại|ore, alloy, element
meteor|sao băng|falling star, shooting star
meteorology|khí tượng học|weather study
meter|đồng hồ đo, mét|gauge, indicator, measure
method|phương pháp|technique, procedure, system
methodology|phương pháp luận|approach, system, procedure
metric|thuộc hệ mét, chỉ số đo lường|measurement, standard, measure
microbe|vi trùng, vi khuẩn|germ, bacterium, microorganism
microbiology|vi sinh vật học|science, biology
microphone|micrô|mic, transmitter
microscope|kính hiển vi|magnifier, instrument
midday|buổi trưa|noon, noon-time
middle|ở giữa, trung tâm|center, midpoint, core
midnight|nửa đêm|twelve o'clock, dead of night
midst|ở giữa|middle, center, heart
might|sức mạnh, có thể|power, strength, may
migrate|di cư|relocate, move, travel
migration|sự di cư|movement, relocation, journey
milestone|cột mốc, bước ngoặt|landmark, turning point, event
milieu|môi trường xung quanh|environment, setting, background
military|thuộc quân đội|army, armed forces, martial
militia|lực lượng dân quân|reserves, guard, volunteers
mill|cối xay, nhà máy|grinder, factory, plant
millennium|thiên niên kỷ|thousand years
million|một triệu|huge number
millionaire|triệu phú|rich person, tycoon
mimic|bắt chước|imitate, copy, mock
mince|băm nhỏ|chop, dice, hash
mind|tâm trí, phiền lòng|brain, intellect, object
mine|mỏ, của tôi|pit, excavation, my
miner|thợ mỏ|excavator, coal miner
mineral|khoáng chất|ore, rock, element
mingle|trộn lẫn, hòa vào|mix, blend, combine
miniature|mô hình thu nhỏ|small, tiny, scale model
minimal|tối thiểu|minimum, slightest, least
minimize|giảm đến mức tối thiểu|reduce, decrease, downplay
minimum|mức tối thiểu|lowest, baseline, least
minister|bộ trưởng, mục sư|official, secretary, clergyman
ministry|bộ (chính phủ), mục vụ|department, agency, priesthood
minor|nhỏ, thứ yếu|small, insignificant, secondary
minority|thiểu số|lesser part, smaller group
mint|bạc hà, xưởng đúc tiền|herb, flavor, coin factory
miracle|phép màu, điều kỳ diệu|wonder, marvel, phenomenon
mirror|cái gương, phản chiếu|glass, reflect, copy
miscellaneous|pha tạp, linh tinh|mixed, various, assorted
mischief|trò nghịch ngợm|misbehavior, naughtiness, trouble
misconduct|hành vi sai trái|misbehavior, wrong, malpractice
misdeed|hành động xấu xa|crime, offense, wrong
miser|người keo kiệt|scrooge, penny-pincher, cheapskate
miserable|khốn khổ, thảm hại|unhappy, wretched, sad
misfortune|sự bất hạnh, xui xẻo|bad luck, tragedy, disaster
miss|bỏ lỡ, nhớ|lose, skip, long for
missile|tên lửa|rocket, projectile, weapon
mission|nhiệm vụ, phái bộ|task, assignment, goal
mist|sương mù|fog, haze, vapor
mistake|lỗi lầm, sai lầm|error, blunder, fault
mister|quý ông (mr.)|sir, gentleman
mix|trộn lẫn|blend, combine, mingle
mixture|hỗn hợp|blend, combination, assortment
moan|rên rỉ, than vãn|groan, sigh, complain
mob|đám đông lộn xộn|crowd, swarm, gang
mobile|di động|movable, portable, traveling
mobilize|huy động, tập hợp|rally, assemble, organize
mock|chế nhạo, giả|ridicule, tease, fake
model|người mẫu, mô hình|mannequin, example, pattern
moderate|vừa phải, ôn hòa|reasonable, modest, average
modern|hiện đại|contemporary, current, up-to-date
modernize|hiện đại hóa|update, renovate, revamp
modest|khiêm tốn, giản dị|humble, unpretentious, simple
modification|sự sửa đổi|alteration, change, adjustment
modify|sửa đổi, thay đổi|alter, adapt, adjust
module|học phần, mô-đun|unit, component, part
moist|ẩm ướt|damp, wet, clammy
moisture|độ ẩm, hơi ẩm|dampness, humidity, liquid
molecule|phân tử|particle, speck, atom
moment|khoảnh khắc|instant, minute, second
momentous|quan trọng, trọng đại|significant, crucial, historic
monarch|quân vương, quốc vương|ruler, king, sovereign
monastery|tu viện|abbey, convent, priory
monetary|thuộc tiền tệ|financial, economic, fiscal
money|tiền bạc|cash, currency, funds
monitor|màn hình, giám sát|screen, track, observe
monk|thầy tu|friar, brother, ascetic
monkey|con khỉ|primate, ape
monopoly|sự độc quyền|control, domination, cartel
monster|quái vật|creature, fiend, demon
monstrous|kỳ quái, tàn ác|hideous, horrible, dreadful
month|tháng|four weeks, thirty days
monument|đài tưởng niệm|memorial, statue, pillar
mood|tâm trạng|temper, disposition, feeling
moon|mặt trăng|satellite, orb
moral|đạo đức|ethical, honorable, principled
morale|tinh thần, nhuệ khí|confidence, spirit, mood
moreover|hơn nữa, vả lại|furthermore, besides, additionally
morning|buổi sáng|dawn, daybreak, a.m.
morose|buồn rầu, ủ rũ|sullen, gloomy, depressed
morsel|miếng nhỏ (thức ăn)|bite, crumb, tidbit
mortal|chết mạng, con người|deadly, fatal, human
mortgage|thế chấp|loan, pledge, lien
mosquito|con muỗi|insect, bug
most|hầu hết, nhiều nhất|majority, maximum, greatest
mostly|chủ yếu|mainly, largely, chiefly
motel|nhà nghỉ dọc đường|inn, hotel, lodge
moth|bướm đêm|insect, bug
mother|người mẹ|mom, female parent
motion|sự chuyển động, cử động|movement, action, gesture
motivate|thúc đẩy, truyền động lực|inspire, encourage, prompt
motivation|động lực|incentive, inspiration, drive
motive|động cơ|reason, purpose, cause
motor|động cơ|engine, machine
mount|leo lên, ngọn núi|climb, ascend, peak
mountain|ngọn núi|peak, hill, alp
mourn|than khóc, tiếc thương|grieve, lament, sorrow
mouse|con chuột|rodent, pest
mouth|miệng|lips, jaws, opening
move|di chuyển|go, travel, proceed
movement|sự di chuyển, phong trào|motion, activity, campaign
movie|bộ phim|film, picture, cinema
multiply|nhân lên, gia tăng|increase, expand, proliferate
multitude|đám đông, vô số|crowd, swarm, mass
mumble|lầm bầm|mutter, murmur, grumble
mundane|trần tục, tẻ nhạt|ordinary, routine, dull
municipal|thuộc thành phố, đô thị|civic, city, urban
murder|tội giết người|homicide, killing, assassination
murmur|tiếng thì thầm|whisper, mutter, mumble
muscle|cơ bắp|brawn, strength, sinew
museum|bảo tàng|gallery, exhibition
mushroom|nấm, phát triển nhanh|fungus, boom, expand
music|âm nhạc|tune, melody, song
musician|nhạc sĩ|player, performer, artist
must|phải, cần thiết|have to, ought to, requirement
mustard|mù tạt|condiment, sauce
mutant|đột biến|freak, anomaly, variation
mutter|lầm bầm, cằn nhằn|mumble, murmur, complain
mutual|lẫn nhau, chung|shared, joint, reciprocal
mystery|điều bí ẩn|enigma, puzzle, secret
mystic|thần bí, nhà tiên tri|mystical, magical, seer
myth|thần thoại, chuyện hoang đường|legend, fable, tale
mythology|thần thoại học|legends, folklore, myths

nab|bắt giữ, chộp lấy|catch, seize, arrest, grab, snatch
nadir|điểm thấp nhất, đáy sâu|bottom, lowest point, floor, depths
nag|cằn nhằn, rầy la|pester, annoy, bother, irritate, scold
naive|ngây thơ, chất phác|innocent, ingenuous, gullible, simple, trustful
naked|trần truồng, trơ trọi|bare, nude, uncovered, exposed, stark
name|tên gọi, đặt tên|title, designation, term, call, christen
nameless|vô danh, không tên|anonymous, unidentified, obscure, unknown
nap|giấc ngủ ngắn|sleep, doze, siesta, slumber, rest
narcissistic|tự luyến, kiêu ngạo|vain, self-centered, conceited, egotistical
narrate|kể lại, thuật lại|tell, relate, recount, report, describe
narrative|chuyện kể, bài tường thuật|story, tale, account, chronicle, recital
narrow|hẹp, eo hẹp|tight, confined, restricted, limited, slender
narrow-minded|thiển cận, hẹp hòi|bigoted, intolerant, illiberal, insular
nasty|khó chịu, bẩn thỉu|unpleasant, offensive, foul, mean, spiteful
native|bản xứ, bẩm sinh|indigenous, local, aboriginal, innate, inherent
natural|tự nhiên, bẩm sinh|normal, organic, innate, untamed, spontaneous
nature|tự nhiên, bản chất|wildlife, environment, character, essence, temper
naughty|tinh nghịch, hư đốn|mischievous, disobedient, bad, roguish, unruly
nausea|sự buồn nôn, ghê tởm|sickness, disgust, loathing, aversion
nautical|thuộc hàng hải, biển cả|marine, maritime, naval, oceanic
near|gần gũi, cận kề|close, nearby, adjacent, imminent, close-by
nearly|gần như, suýt soát|almost, practically, virtually, roughly
neat|gọn gàng, ngăn nắp|tidy, orderly, clean, smart, dapper
nebulous|mờ nhân ảnh, mơ hồ|vague, unclear, hazy, fuzzy, indistinct
necessary|cần thiết, thiết yếu|essential, vital, crucial, needed, requisite
necessitate|bắt buộc, đòi hỏi|require, demand, compel, force, oblige
necessity|sự cần thiết, nhu yếu phẩm|requirement, essential, need, obligation
necromancy|thuật gọi hồn, ma thuật|sorcery, witchcraft, black magic, wizardry
need|cần thiết, nhu cầu|require, demand, want, necessity, lack
needy|nghèo khổ, thiếu thốn|poor, destitute, impoverished, indigent, penniless
nefarious|hung ác, bất chính|wicked, evil, villainous, heinous, atrocious
negate|phủ định, hủy bỏ|deny, nullify, invalidate, cancel, void
negation|sự phủ định|denial, contradiction, refusal, cancellation
negative|tiêu cực, từ chối|pessimistic, adverse, contrary, opposing
neglect|bỏ bê, lờ đi|ignore, overlook, disregard, abandon, slight
neglectful|sao lãng, lơ là|negligent, careless, remiss, heedless
negligence|sự cẩu thả, bỏ bê|carelessness, neglect, laxity, dereliction
negligent|cẩu thả, lơ là|careless, neglectful, remiss, slack
negligible|không đáng kể, tầm thường|insignificant, minor, trivial, petty, minimal
negotiate|đàm phán, thương lượng|bargain, debate, discuss, settle, mediate
negotiation|sự thương lượng|bargaining, arbitration, discussion, diplomacy
neighborly|thân thiện, hòa nhã|friendly, amicable, cordial, helpful, kind
nemesis|kẻ thù truyền kiếp, quả báo|rival, enemy, adversary, retribution, undoing
neophyte|người mới vào nghề, tân binh|novice, beginner, tyro, amateur, rookie
nepotism|sự gia đình trị, nâng đỡ|favoritism, bias, partiality
nerve|dũng khí, dây thần kinh|courage, bravery, fortitude, audacity, boldness
nervous|lo lắng, bồn chồn|anxious, apprehensive, tense, edgy, jittery
nervy|trơ tráo, táo bạo|bold, cheeky, audacious, arrogant, brash
nestle|nép mình, ôm ấp|snuggle, cuddle, nuzzle, settle
net|lưới, thuần túy (thu nhập)|mesh, web, final, clear, profit
nettle|làm chọc tức, làm phiền|irritate, annoy, provoke, vex, pique
network|mạng lưới, hệ thống|grid, web, system, matrix, connection
neutral|trung lập, khách quan|impartial, unbiased, objective, fair, detached
neutralize|vô hiệu hóa, làm trung hòa|counteract, offset, nullify, cancel, defuse
never-ending|vô tận, không bao giờ hết|eternal, perpetual, endless, incessant, ceaseless
new|mới mẻ, tân tiến|novel, fresh, recent, modern, innovative
newcomer|người mới đến|arrival, novice, beginner, stranger, alien
news|tin tức|information, report, intelligence, update, tidings
nibble|gặm, nhấm nháp|bite, chew, gnaw, peck
nice|tốt bụng, dễ chịu|pleasant, agreeable, kind, fine, delightful
nicety|sự tinh tế, chi tiết nhỏ|subtlety, detail, precision, nuance, refinement
niggardly|keo kiệt, bủn xỉn|stingy, miserly, tightfisted, parsimonious, mean
niggle|càu nhàu, bận tâm vụn vặt|quibble, fuss, grumble, complain
nightly|hàng đêm|nocturnal, night, everyday
nightmare|ác mộng, nỗi kinh hoàng|bad dream, horror, ordeal, terror
nightmarish|kinh hoàng, như ác mộng|terrifying, horrific, frightening, ghastly
nimble|nhanh nhẹn, linh hoạt|agile, quick, brisk, sprightly, active
nincompoop|kẻ ngốc nghếch|fool, idiot, dunce, blockhead, simpleton
nip|bấu, kẹp, ngăn chặn|pinch, bite, clip, check, halt
nirvana|cõi niết bàn, sự giải thoát|paradise, heaven, bliss, peace
noble|cao quý, quý tộc|aristocratic, majestic, grand, dignified, honorable
nocturnal|thuộc về đêm|nightly, dark, active by night
nod|gật đầu, ra hiệu|signal, gesture, bow, indicate
node|bướu, nút thắt|bump, lump, knot, swelling, joint
noise|tiếng ồn, sự náo động|din, clamor, racket, uproar, sound
noiseless|im lặng, không tiếng động|silent, quiet, soundless, hushed, still
noisome|hôi hối, độc hại|offensive, foul, smelly, fetid, noxious
noisy|ồn ào, náo nhiệt|clamorous, loud, boisterous, deafening, turbulent
nomad|dân du mục, kẻ lang thang|wanderer, drifter, rover, vagabond, migrant
nomadic|du mục, lang thang|wandering, roaming, roving, itinerant, vagabond
nominal|trên danh nghĩa, nhỏ nhặt|titular, formal, minor, small, minimal
nominate|đề cử, bổ nhiệm|propose, suggest, recommend, appoint, designate
nonchalant|thờ ơ, hờ hững|indifferent, casual, unconcerned, apathetic, cool
noncommittal|mập mờ, không cam kết|evasive, cautious, guarded, neutral, circumspect
nonconformist|người lập dị, nổi loạn|rebel, maverick, dissenter, radical, eccentric
nondescript|bình thường, khó tả|unremarkable, ordinary, plain, bland, featureless
noneffective|không hiệu quả|ineffectual, useless, futile, invalid
nonentity|người vô danh, vật vô tri|nobody, cipher, nonexistence
nonplus|làm kinh ngạc, bối rối|perplex, puzzle, bewilder, baffle, confound
nonresident|người không cư trú|outsider, visitor, tourist, alien
nonsense|lời vô nghĩa, nhảm nhí|rubbish, foolishness, absurdity, drivel, balderdash
nonsensical|vô lý, ngớ ngẩn|absurd, ridiculous, foolish, senseless, inane
nook|ngóc ngách, góc khuất|corner, alcove, niche, recess, cranny
noon|trưa, đỉnh điểm|midday, noonday, peak, zenith
norm|chuẩn mực, quy tắc|standard, rule, pattern, criterion, average
normal|bình thường, quy chuẩn|regular, typical, standard, ordinary, conventional
notable|đáng chú ý, kiệt xuất|remarkable, noteworthy, striking, famous, prominent
note|ghi chú, lưu ý|memorandum, record, notice, heed, remark
noted|nổi tiếng, có tiếng|famous, renowned, celebrated, prominent, distinguished
noteworthy|đáng chú ý|notable, remarkable, significant, important, memorable
notice|nhận biết, thông báo|perceive, observe, spot, announcement, warning
noticeable|dễ thấy, rõ rệt|observable, conspicuous, obvious, clear, distinct
notify|thông báo, khai báo|inform, tell, advise, apprise, declare
notion|quan niệm, ý niệm|idea, concept, thought, belief, opinion
notorious|khét tiếng, tai tiếng|infamous, scandalous, disreputable, ill-famed
nourish|nuôi dưỡng, cấp dưỡng|feed, nurture, foster, sustain, maintain
nourishment|chất dinh dưỡng, sự nuôi dưỡng|food, nutrition, sustenance, nutriment
novel|mới lạ, tiểu thuyết|new, fresh, original, innovative, story
novelty|sự mới lạ, đồ mới|originality, freshness, newness, curiosity
novice|người mới bắt đầu|beginner, learner, neophyte, tyro, amateur
noxious|độc hại, có hại|harmful, toxic, poisonous, deadly, lethal
nuance|sắc thái, khác biệt nhỏ|subtlety, shade, nicety, distinction, graduation
nucleus|nhân, trung tâm cốt lõi|core, center, heart, kernel, focus
nude|trần truồng, lõa thể|naked, bare, uncovered, stripped
nudge|thúc nhẹ, khích lệ|poke, prod, elbow, push, prompt
nugatory|vô giá trị, vô hiệu|worthless, futile, vain, invalid, ineffectual
nuisance|sự phiền toái, gây rắc rối|annoyance, bother, pest, irritation, trouble
nullify|hủy bỏ, vô hiệu hóa|cancel, void, invalidate, negate, annual
numb|tê liệt, mất cảm giác|unfeeling, deadened, paralyzed, insensible
number|số lượng, đếm|digit, figure, total, count, calculate
numberless|vô số, không đếm xuể|countless, innumerable, myriad, infinite
numerous|nhiều, đông đảo|many, plentiful, abundant, multiple, copious
nurture|nuôi dưỡng, giáo dục|foster, nourish, raise, bring up, educate
nutriment|chất dinh dưỡng|food, nourishment, sustenance, nutrition
nutrition|dinh dưỡng|sustenance, nourishment, diet
nail|móng tay, đinh|pin, spike, claw
namely|cụ thể là, ấy là|specifically, explicitly, to wit
napkin|khăn ăn|serviette, cloth, towel
narrator|người kể chuyện|storyteller, commentator, speaker
nation|quốc gia, dân tộc|country, state, people
national|thuộc quốc gia, toàn quốc|state, nationwide, public
nationality|quốc tịch|citizenship, origin, race
nationwide|toàn quốc|national, countrywide, general
navigable|có thể đi lại được (tàu thuyền)|passable, clear, passable
navigate|điều hướng, lái (tàu)|steer, direct, guide
navigation|sự điều hướng|steering, routing, direction
navy|hải quân|fleet, armada, flotilla
nearby|gần đó|close, neighboring, adjacent
neatly|gọn gàng, ngăn nắp|tidily, systematically, nicely
necklace|vòng cổ|choker, chain, pendant
needle|cây kim|pin, point, spike
needless|không cần thiết|unnecessary, useless, pointless
negotiator|người đàm phán|mediator, diplomat, broker
neighbor|người hàng xóm|resident, neighbor, friend
neighborhood|khu vực lân cận, hàng xóm|district, community, area
neither|cũng không|not either
neon|đèn neon, khí neon|light, gas
nephew|cháu trai (con anh/chị/em)|relative, kin
nerd|kẻ mọt sách|geek, intellectual, dweeb
nest|cái tổ|roost, home, retreat
neurology|thần kinh học|science, medicine
never|không bao giờ|not ever, at no time
nevertheless|tuy nhiên|however, nonetheless, yet
newborn|trẻ sơ sinh|baby, infant, neonate
newly|mới đây, vừa mới|recently, lately, freshly
newsstand|sạp báo|kiosk, booth, stall
next|tiếp theo, kế tiếp|following, subsequent, upcoming
nib|ngòi bút|point, tip, peak
nickname|biệt danh|sobriquet, moniker, label
nicotine|chất nicotin|drug, stimulant
niece|cháu gái (con anh/chị/em)|relative, kin
nifty|lanh lẹ, bảnh bao, tiện lợi|clever, neat, stylish
night|đêm, ban đêm|darkness, evening, nighttime
nightfall|lúc chạng vạng, hoàng hôn|dusk, twilight, sunset
nightgown|váy ngủ|nightdress, pajamas, sleepwear
nil|số không, không có gì|zero, nothing, naught
nine|số chín|digit
nineteen|số mười chín|number
ninety|số chín mươi|number
nitrogen|khí nitơ|gas, element
no|không|negative, nay
nobility|giới quý tộc|aristocracy, elite, gentry
nobody|không ai|no one, zero
nominee|người được đề cử|candidate, applicant, appointee
none|không ai, không cái gì|not any, zero, nil
nonprofit|phi lợi nhuận|charitable, not-for-profit
noodle|sợi mì|pasta, spaghetti
normalcy|sự bình thường|normality, routine, order
normally|thông thường, như thường lệ|usually, generally, typically
north|phía bắc|cardinal point, direction
northern|thuộc về phía bắc|polar, boreal
nose|cái mũi|snout, beak, muzzle
nostalgia|sự hoài niệm|longing, homesickness, yearning
